VBELN,ERDAT,AUART,KUNNR
2000000738,2024-03-13,OR,0000000050
2000004557,,OR,0000000107
2000000739,2025-03-03,OR,0000000345
2000007003,2023-12-04,OR,0000000328
2000003842,2025-06-14,OR,0000000148
2000000839,2024-10-06,OR,0000000134
2000003110,2023-02-07,OR,0000000063
2000009933,2023-11-12,OR,0000000382
2000009754,2023-05-12,OR,0000000188
2000005946,2023-04-27,OR,0000000231
2000003059,2025-05-05,OR,0000000051
2000003501,2023-05-19,OR,0000000394
2000000545,2025-06-28,RE,0000000025
2000001433,2024-09-22,SO,0000000129
2000007006,2023-10-20,RE,0000000091
2000000041,2023-04-23,OR,0000000454
2000001852,2023-11-16,OR,0000000425
2000000490,2025-02-10,RE,0000000380
2000000228,2024-10-21,OR,0000000172
2000005881,2024-06-01,SO,0000000360
2000002705,2024-04-27,OR,0000000088
2000002107,2022-10-17,OR,0000000015
2000001776,,OR,0000000499
2000002778,2024-11-12,OR,0000000049
2000007533,2023-04-18,OR,0000000062
2000004682,2024-03-07,OR,0000000351
2000009481,2025-01-22,OR,0000000361
2000007200,2024-11-01,OR,0000000163
2000006267,2023-01-24,OR,0000000370
2000002426,2023-02-20,OR,0000000219
2000001383,2025-07-13,OR,0000000429
2000008582,2025-03-27,OR,0000000462
2000003636,2023-12-20,OR,0000000078
2000001806,2023-12-26,OR,0000000368
2000002460,2023-12-04,OR,0000000044
2000000754,2024-04-29,OR,0000000250
2000008775,,RE,0000000116
2000008624,2022-09-27,OR,0000000494
2000006618,2024-09-10,OR,0000000185
2000001145,2025-05-13,OR,0000000486
2000008579,2025-06-17,OR,0000000088
2000003126,2024-08-12,RE,0000000382
2000008017,2023-09-26,OR,0000000062
2000003515,2025-07-17,SO,0000000279
2000009004,2023-05-19,OR,0000000188
2000001882,2025-01-26,OR,0000000166
2000004895,2022-11-15,SO,0000000068
2000005802,2024-03-24,OR,0000000362
2000002247,2024-01-18,OR,0000000077
2000008809,2022-11-09,RE,0000000349
2000005222,2025-03-28,OR,0000000143
2000009598,2022-10-06,RE,0000000168
2000000675,2024-09-11,OR,0000000479
2000000266,2024-12-19,OR,0000000026
2000009287,2024-12-14,OR,0000000332
2000009395,2024-04-13,OR,0000000012
2000005720,2023-11-30,OR,0000000467
2000006344,2023-11-04,OR,0000000068
2000007294,2024-09-05,OR,0000000457
2000009250,2025-02-17,OR,0000000388
2000000569,2025-02-23,OR,0000000237
2000006130,2025-03-20,OR,0000000080
2000009234,2025-02-12,OR,0000000316
2000008555,2024-06-22,OR,0000000395
2000007910,2023-01-22,OR,0000000311
2000002897,2025-01-14,RE,0000000351
2000007661,2023-03-19,OR,0000000427
2000006218,2025-04-09,OR,0000000006
2000002448,2024-04-16,OR,0000000459
2000000840,2024-10-30,OR,0000000451
2000000014,2022-09-05,OR,0000000144
2000002847,2024-01-10,RE,0000000280
2000000645,2022-12-28,OR,0000000243
2000004896,2022-12-24,OR,0000000098
2000004953,2023-08-04,OR,0000000347
2000003631,2025-03-22,OR,0000000347
2000007432,2023-05-17,OR,0000000310
2000000783,2024-02-22,OR,0000000453
2000000219,2022-12-30,OR,0000000284
2000005125,2024-08-19,RE,0000000322
2000001897,2023-05-23,OR,0000000224
2000001641,2024-03-12,OR,0000000305
2000003132,2025-05-15,OR,0000000102
2000007129,2025-04-11,OR,0000000021
2000002430,2024-08-20,OR,0000000492
2000008313,2024-04-06,OR,0000000014
2000003502,2023-10-30,OR,0000000017
2000003683,2025-03-15,OR,0000000193
2000000791,2022-12-15,OR,0000000294
2000003514,2024-07-29,OR,0000000401
2000005728,2023-09-16,OR,0000000320
2000004575,2024-02-06,OR,0000000283
2000009796,2023-12-10,OR,0000000376
2000002859,2025-10-22,OR,0000000263
2000002582,2022-09-23,RE,0000000198
2000001233,2023-03-14,OR,0000000273
2000007536,2024-07-13,OR,0000000007
2000007091,2025-05-14,OR,0000000356
2000008991,2024-06-09,OR,0000000026
2000007981,2024-03-22,OR,0000000357
2000001977,2025-02-04,OR,0000000473
2000009280,2023-11-06,SO,0000000324
2000001226,2025-06-04,OR,0000000456
2000000619,2023-01-14,OR,0000000388
2000009961,2024-05-23,OR,0000000140
2000004118,2024-12-17,OR,0000000010
2000001920,2023-05-17,OR,0000000468
2000004259,2023-07-24,SO,0000000295
2000002790,2024-12-28,OR,0000000080
2000008620,2024-07-08,OR,0000000266
2000009646,2023-08-05,OR,0000000121
2000006514,2023-07-26,OR,0000000003
2000008184,2022-11-19,OR,0000000080
2000009766,2023-06-05,OR,0000000057
2000003402,2024-09-03,OR,0000000492
2000001543,2022-10-04,RE,0000000247
2000003694,2022-11-11,OR,0000000182
2000003410,2024-08-18,OR,0000000319
2000007552,2023-07-10,OR,0000000305
2000004398,2025-08-07,OR,0000000467
2000009268,2025-02-02,OR,0000000334
2000007619,2023-08-29,OR,0000000408
2000005419,2024-08-29,OR,0000000083
2000006923,2024-11-16,OR,0000000264
2000003285,2022-09-16,OR,0000000109
2000003868,2023-06-28,SO,0000000013
2000001519,2023-05-15,RE,0000000484
2000003781,2024-03-28,SO,0000000191
2000002097,2023-03-16,OR,0000000337
2000000966,2023-05-08,OR,0000000352
2000000047,2023-05-08,OR,0000000123
2000002664,2023-06-18,OR,0000000230
2000002180,2025-06-19,OR,0000000085
2000001351,2024-12-16,OR,0000000317
2000005803,2023-08-08,OR,0000000071
2000003262,2024-06-14,OR,0000000215
2000000189,2025-06-21,OR,0000000237
2000007554,2025-03-29,OR,0000000090
2000000550,2022-09-14,OR,0000000476
2000002227,2023-08-06,OR,0000000020
2000003029,2022-12-13,OR,0000000274
2000006924,2024-05-03,OR,0000000049
2000008314,2024-04-20,OR,0000000214
2000006074,2022-12-12,OR,0000000329
2000004685,2025-07-18,OR,0000000217
2000003911,2024-04-21,OR,0000000277
2000009335,2024-11-29,OR,0000000141
2000002524,2022-09-10,OR,0000000112
2000003173,2024-02-14,SO,0000000012
2000005137,2022-11-29,OR,0000000327
2000003287,2022-10-13,OR,0000000186
2000009946,2023-07-23,OR,0000000386
2000007505,2025-05-16,SO,0000000059
2000001369,2024-01-26,OR,0000000030
2000005487,2025-01-13,RE,0000000461
2000004197,2022-12-15,OR,0000000247
2000005800,2024-09-21,OR,0000000170
2000006631,2024-08-21,OR,0000000156
2000003564,2022-09-01,OR,0000000085
2000004458,2023-01-01,OR,0000000421
2000001757,2022-10-08,RE,0000000323
2000007850,2023-09-21,OR,0000000489
2000009744,2022-12-13,OR,0000000033
2000009338,2023-07-29,SO,0000000070
2000008059,2025-01-06,OR,0000000308
2000000261,2022-11-09,OR,0000000393
2000009303,2025-08-19,OR,0000000427
2000005108,2025-04-03,OR,0000000144
2000000802,2024-01-10,OR,0000000085
2000005555,2025-02-13,OR,0000000034
2000002270,,OR,0000000052
2000003498,2022-11-04,OR,0000000326
2000001405,2022-11-22,OR,0000000142
2000003786,2022-11-03,OR,0000000154
2000000218,2023-06-11,OR,0000000321
2000003409,2023-08-08,OR,0000000454
2000003441,2025-07-04,OR,0000000228
2000001461,2022-12-07,OR,0000000391
2000009790,2023-10-05,OR,0000000489
2000000456,2024-01-02,OR,0000000086
2000003935,2023-10-22,OR,0000000268
2000002172,2023-12-14,OR,0000000306
2000000628,2023-11-26,OR,0000000062
2000002179,2023-02-14,OR,0000000106
2000001650,2025-08-03,OR,0000000265
2000003526,2023-08-12,RE,0000000112
2000000463,2023-10-26,OR,0000000051
2000002855,2023-09-16,OR,0000000325
2000001365,2025-01-18,OR,0000000061
2000009448,2025-05-19,OR,0000000262
2000004379,2025-08-06,OR,0000000289
2000004198,2022-10-26,OR,0000000389
2000009190,2023-10-09,OR,0000000485
2000003117,2023-08-14,OR,0000000055
2000005245,2022-11-09,OR,0000000417
2000004180,2025-01-22,OR,0000000487
2000001750,2022-09-23,OR,0000000144
2000007943,2025-05-07,OR,0000000240
2000005287,2025-08-08,OR,0000000390
2000004092,2025-07-04,OR,0000000235
2000002305,2024-02-20,OR,0000000013
2000002717,2025-06-10,SO,0000000331
2000001088,2023-05-01,OR,0000000229
2000002264,2022-11-25,RE,0000000125
2000006447,2023-06-02,RE,0000000400
2000004153,2024-11-23,SO,0000000309
2000001952,2024-03-12,OR,0000000491
2000006541,2023-05-30,OR,0000000063
2000008526,2025-06-02,OR,0000000055
2000001581,2024-01-04,OR,0000000191
2000001416,2023-09-20,RE,0000000396
2000006818,2025-06-10,OR,0000000304
2000001418,2024-04-21,OR,0000000299
2000002091,2023-02-20,OR,0000000336
2000001686,2023-01-29,RE,0000000308
2000002485,2023-03-13,OR,0000000373
2000000086,2022-08-27,OR,0000000054
2000008073,2025-01-22,OR,0000000032
2000005585,2023-01-24,OR,0000000260
2000005843,2023-09-13,OR,0000000030
2000000268,2023-06-09,RE,0000000364
2000006680,2025-04-21,OR,0000000399
2000000239,2023-09-16,OR,0000000458
2000000713,2023-08-01,RE,0000000336
2000004178,,RE,0000000441
2000001753,2022-09-15,RE,0000000225
2000004253,2024-11-22,OR,0000000025
2000001803,2022-12-08,OR,0000000133
2000004137,2023-07-21,OR,0000000454
2000003418,2024-07-05,OR,0000000476
2000005510,2022-09-16,RE,0000000068
2000009748,,OR,0000000187
2000006445,2025-05-23,OR,0000000400
2000007011,2022-09-09,SO,0000000311
2000010000,2025-04-27,OR,0000000014
2000008263,2024-06-15,OR,0000000247
2000005036,2025-01-09,OR,0000000102
2000007963,2025-01-22,OR,0000000070
2000007077,2025-09-04,OR,0000000402
2000008676,2025-01-08,OR,0000000360
2000009478,2024-04-29,OR,0000000191
2000006258,2025-05-07,OR,0000000332
2000007440,2023-08-29,SO,0000000049
2000004744,2022-09-23,SO,0000000076
2000005831,2023-08-21,OR,0000000373
2000002240,2024-02-09,OR,0000000441
2000003068,2024-01-17,OR,0000000052
2000009940,2023-03-21,OR,0000000100
2000001134,2024-12-29,OR,0000000020
2000006504,2023-07-22,OR,0000000325
2000006239,2023-04-21,OR,0000000153
2000007405,2024-04-29,OR,0000000464
2000002980,2022-11-01,OR,0000000210
2000003931,2022-12-31,OR,0000000100
2000006472,2022-11-15,SO,0000000433
2000004151,2024-04-30,OR,0000000028
2000001841,2025-07-19,OR,0000000121
2000009092,2024-05-04,RE,0000000486
2000001842,2024-05-20,OR,0000000249
2000003072,2023-06-19,OR,0000000244
2000002214,2022-11-16,OR,0000000017
2000003130,2024-02-20,SO,0000000289
2000002681,2025-06-14,OR,0000000082
2000009909,2024-05-14,OR,0000000113
2000001843,2024-11-21,OR,0000000026
2000008156,2023-10-10,OR,0000000143
2000008649,2024-05-20,OR,0000000295
2000004367,2024-11-26,OR,0000000426
2000002100,2024-03-21,RE,0000000462
2000000347,2023-08-18,OR,0000000421
2000000418,2025-04-21,OR,0000000471
2000002287,2025-04-29,OR,0000000282
2000004000,2022-12-14,OR,0000000250
2000001653,,OR,0000000010
2000004278,2023-08-04,RE,0000000385
2000007690,2023-12-25,OR,0000000403
2000003226,2025-07-26,OR,0000000260
2000008492,2024-09-09,OR,0000000067
2000004122,2022-12-07,OR,0000000149
2000008378,2024-09-07,OR,0000000179
2000005910,2025-07-03,OR,0000000455
2000000697,2025-08-04,OR,0000000068
2000005760,2024-05-14,OR,0000000070
2000005915,2025-02-03,OR,0000000301
2000002666,2022-11-15,OR,0000000131
2000000363,2022-09-21,OR,0000000012
2000005233,2024-04-11,OR,0000000434
2000006540,2023-10-19,OR,0000000320
2000000118,2023-06-04,OR,0000000489
2000000004,2024-12-29,OR,0000000031
2000009680,2025-07-09,OR,0000000225
2000000784,2022-12-19,OR,0000000095
2000001177,2025-04-10,OR,0000000473
2000000999,2023-05-12,OR,0000000486
2000008926,2023-10-04,RE,0000000302
2000008875,2022-11-23,RE,0000000202
2000000976,2024-06-14,OR,0000000178
2000007239,2023-10-14,OR,0000000273
2000008213,2023-07-27,OR,0000000474
2000008571,2024-07-14,OR,0000000241
2000004434,2024-01-22,OR,0000000076
2000001994,2024-04-17,OR,0000000129
2000002189,2023-05-27,OR,0000000302
2000003494,2023-06-12,OR,0000000379
2000005426,2025-05-02,OR,0000000151
2000003747,2023-11-21,SO,0000000426
2000000657,2025-05-07,OR,0000000090
2000007509,2023-01-31,SO,0000000038
2000007349,2022-11-01,OR,0000000394
2000008046,2023-07-04,OR,0000000171
2000000403,2023-02-07,OR,0000000245
2000005408,2024-01-31,RE,0000000210
2000009681,2023-08-06,OR,0000000082
2000003609,2024-04-10,OR,0000000060
2000004258,2025-03-09,OR,0000000371
2000002029,2023-07-30,RE,0000000010
2000006708,2024-05-19,OR,0000000481
2000004873,2025-04-01,OR,0000000018
2000009431,2023-04-24,OR,0000000473
2000007697,2023-08-30,OR,0000000128
2000007223,2022-11-07,OR,0000000453
2000001795,2023-04-30,OR,0000000459
2000005076,2024-06-01,OR,0000000189
2000001821,2023-12-02,OR,0000000440
2000001794,2024-01-30,OR,0000000126
2000004764,2024-02-26,OR,0000000300
2000007944,2023-08-12,OR,0000000392
2000002660,,OR,0000000033
2000002320,2024-02-08,OR,0000000272
2000009483,2024-07-06,OR,0000000194
2000001293,2023-03-12,OR,0000000378
2000006899,2023-07-07,OR,0000000114
2000003472,,OR,0000000309
2000006635,2025-05-17,OR,0000000240
2000008478,2023-09-26,OR,0000000003
2000001320,2024-12-25,OR,0000000451
2000009921,2022-12-27,SO,0000000206
2000008781,2023-10-04,OR,0000000349
2000000354,2025-02-25,RE,0000000020
2000000412,2023-07-29,OR,0000000100
2000009017,2023-10-18,OR,0000000013
2000005293,2023-03-23,OR,0000000016
2000007193,2024-06-19,OR,0000000309
2000005403,2024-03-21,SO,0000000106
2000001718,2025-08-11,OR,0000000019
2000003948,2022-12-29,RE,0000000350
2000000953,2023-01-03,OR,0000000152
2000003192,2023-10-11,OR,0000000404
2000003624,2024-06-06,OR,0000000194
2000004930,2024-07-31,OR,0000000068
2000006424,2023-05-28,OR,0000000307
2000000578,2025-01-26,RE,0000000293
2000001236,2024-02-11,OR,0000000237
2000005232,2025-08-11,OR,0000000247
2000009951,2023-09-24,OR,0000000108
2000008750,2022-11-18,OR,0000000301
2000005262,2025-01-06,OR,0000000011
2000000107,2025-01-08,OR,0000000424
2000003748,2022-10-18,OR,0000000483
2000009760,2022-09-27,OR,0000000279
2000001377,2023-01-03,OR,0000000401
2000004972,2025-06-01,OR,0000000181
2000007798,2024-09-01,OR,0000000483
2000006756,2024-03-15,OR,0000000426
2000009187,2023-09-21,OR,0000000320
2000001428,2025-04-16,OR,0000000181
2000007012,2024-08-11,OR,0000000126
2000005376,2024-03-23,OR,0000000082
2000001669,2023-04-08,OR,0000000010
2000003428,2022-12-15,OR,0000000228
2000006444,2023-04-28,OR,0000000442
2000006934,2023-06-23,OR,0000000215
2000000758,2024-05-25,OR,0000000483
2000006473,2023-05-01,OR,0000000409
2000001376,2023-04-18,OR,0000000229
2000002828,2024-05-21,OR,0000000422
2000000091,2024-01-22,OR,0000000228
2000004162,2022-09-18,OR,0000000095
2000002033,2022-10-02,SO,0000000052
2000000639,2023-08-09,OR,0000000291
2000007020,2023-10-18,RE,0000000309
2000000064,2024-08-30,OR,0000000285
2000004877,2024-11-30,OR,0000000021
2000009844,2024-05-28,OR,0000000459
2000003227,2025-03-13,OR,0000000309
2000004078,2025-06-01,OR,0000000155
2000004220,2025-01-22,OR,0000000481
2000004963,2024-02-26,OR,0000000434
2000001818,2024-11-06,OR,0000000361
2000007204,2025-04-16,OR,0000000358
2000008389,2025-07-20,OR,0000000157
2000006442,2024-02-22,RE,0000000387
2000001839,2022-10-08,OR,0000000338
2000004922,2025-01-22,OR,0000000152
2000007613,2023-04-02,OR,0000000363
2000008661,,RE,0000000180
2000002344,2022-12-23,OR,0000000292
2000002332,2025-06-16,SO,0000000047
2000000535,2023-03-25,OR,0000000097
2000001109,2024-09-12,OR,0000000212
2000001163,2024-03-13,OR,0000000141
2000001966,2025-06-12,RE,0000000061
2000009372,2023-04-16,RE,0000000400
2000007848,2023-04-18,SO,0000000194
2000000319,2025-01-23,OR,0000000198
2000007903,2023-12-14,OR,0000000463
2000007999,2023-10-23,OR,0000000311
2000006839,2023-09-22,OR,0000000285
2000005351,2023-07-13,OR,0000000178
2000008351,2023-07-29,OR,0000000226
2000004835,2024-03-11,OR,0000000362
2000003220,2023-10-12,OR,0000000239
2000009308,2025-06-28,OR,0000000001
2000005214,2025-03-02,OR,0000000479
2000008679,2022-12-14,RE,0000000482
2000008366,2022-11-15,OR,0000000148
2000008141,2023-10-27,OR,0000000251
2000004096,2022-08-27,OR,0000000378
2000000287,2024-08-20,OR,0000000475
2000003484,2025-06-20,OR,0000000293
2000005950,2022-11-10,OR,0000000286
2000000197,2025-03-24,OR,0000000082
2000000899,2023-02-27,OR,0000000083
2000002431,2023-12-22,RE,0000000005
2000001237,2023-05-03,OR,0000000354
2000009101,2023-05-22,OR,0000000230
2000008206,2023-07-02,OR,0000000096
2000006433,2024-12-08,OR,0000000266
2000004077,2025-05-11,OR,0000000016
2000007966,2023-09-07,OR,0000000473
2000000642,2023-01-12,OR,0000000211
2000002184,2024-01-01,RE,0000000392
2000004090,2023-07-18,OR,0000000111
2000002808,2024-10-02,OR,0000000454
2000002446,2023-11-12,OR,0000000105
2000005249,2025-07-27,OR,0000000390
2000005538,2025-05-31,OR,0000000155
2000004447,2023-06-05,OR,0000000095
2000005172,2024-03-15,SO,0000000399
2000006451,2023-10-29,OR,0000000106
2000005660,2023-02-09,OR,0000000422
2000007783,2023-09-26,OR,0000000066
2000001500,2023-10-30,RE,0000000081
2000000979,2023-05-02,OR,0000000193
2000002321,2023-11-16,OR,0000000410
2000007936,2025-05-01,OR,0000000468
2000000774,2025-01-07,OR,0000000044
2000008589,2024-12-21,OR,0000000399
2000006252,2025-08-06,OR,0000000339
2000002631,2024-08-18,OR,0000000020
2000002084,2023-06-30,OR,0000000103
2000003635,2025-04-08,OR,0000000183
2000007994,2023-04-23,OR,0000000354
2000008904,2024-08-09,OR,0000000363
2000003198,2023-04-12,OR,0000000443
2000000402,2025-01-26,OR,0000000072
2000009105,2023-06-08,OR,0000000302
2000006040,2024-04-10,OR,0000000319
2000000584,,OR,0000000176
2000003433,2023-02-19,OR,0000000453
2000007108,2024-12-14,OR,0000000207
2000007146,2023-11-20,OR,0000000329
2000001978,2024-09-16,OR,0000000265
2000002455,2025-05-05,OR,0000000236
2000003357,2024-02-05,OR,0000000228
2000005485,2023-07-11,OR,0000000438
2000001883,2022-12-10,SO,0000000307
2000006783,2023-12-31,SO,0000000446
2000001906,2025-06-24,OR,0000000160
2000000295,2023-03-15,OR,0000000058
2000003972,2023-09-01,OR,0000000343
2000008832,2023-07-31,OR,0000000480
2000006495,2022-10-27,OR,0000000021
2000008770,2023-09-29,RE,0000000147
2000001875,2024-02-17,OR,0000000471
2000005097,2025-06-11,OR,0000000442
2000000459,2024-11-19,OR,0000000275
2000009745,2025-01-20,OR,0000000361
2000003362,2023-05-21,OR,0000000460
2000004573,2024-02-25,OR,0000000132
2000007103,2023-01-15,OR,0000000305
2000009484,2024-12-12,OR,0000000311
2000000305,2024-10-19,OR,0000000119
2000004136,2024-12-13,OR,0000000200
2000005121,2023-12-21,OR,0000000033
2000004888,2023-12-24,OR,0000000241
2000001401,2023-10-08,OR,0000000218
2000008870,2023-08-03,OR,0000000420
2000005964,2024-11-12,RE,0000000220
2000005037,2024-11-16,OR,0000000454
2000000878,2026-01-06,OR,0000000087
2000009615,2025-02-04,OR,0000000500
2000007544,2024-12-20,OR,0000000483
2000000633,2024-08-08,OR,0000000463
2000000959,2025-07-11,OR,0000000109
2000004789,2024-10-14,RE,0000000008
2000005789,2025-06-07,OR,0000000392
2000008619,2023-07-01,OR,0000000120
2000003513,2023-09-01,OR,0000000097
2000006075,2025-01-08,OR,0000000334
2000008290,2024-02-25,OR,0000000105
2000005327,2024-04-11,RE,0000000133
2000003140,2025-08-17,OR,0000000139
2000008707,2023-09-13,OR,0000000288
2000000627,2023-12-16,OR,0000000467
2000007282,2023-05-26,OR,0000000403
2000006382,2024-02-07,SO,0000000369
2000000358,2023-09-11,OR,0000000115
2000002755,2023-02-24,OR,0000000207
2000007117,2023-04-15,OR,0000000485
2000001907,2025-02-05,OR,0000000229
2000002177,2025-01-26,RE,0000000322
2000001126,2024-05-22,OR,0000000265
2000001292,2023-07-18,RE,0000000307
2000009782,2022-08-29,OR,0000000422
2000003153,2025-04-22,OR,0000000401
2000001908,2023-04-30,OR,0000000065
2000003000,2025-07-08,OR,0000000407
2000006160,2025-01-17,OR,0000000315
2000008386,2024-05-04,OR,0000000197
2000007631,2024-03-25,OR,0000000429
2000008160,2025-08-11,OR,0000000320
2000002193,2023-02-10,RE,0000000069
2000002123,2024-04-12,OR,0000000055
2000003096,2025-05-28,OR,0000000376
2000001540,2024-09-10,OR,0000000381
2000009708,2023-09-15,OR,0000000204
2000000621,2023-08-12,OR,0000000279
2000002452,2023-03-09,OR,0000000048
2000002632,2022-10-13,OR,0000000323
2000008730,2022-10-26,OR,0000000369
2000002235,,OR,0000000470
2000008381,2023-11-21,OR,0000000259
2000002834,2022-11-24,OR,0000000464
2000009185,2024-11-20,OR,0000000350
2000001469,2025-01-10,OR,0000000392
2000008557,2024-06-04,OR,0000000131
2000000289,2024-04-05,OR,0000000090
2000005717,2023-06-04,OR,0000000260
2000009870,2022-10-08,OR,0000000127
2000004532,2024-04-15,OR,0000000485
2000005836,2024-01-28,OR,0000000061
2000008856,2022-08-31,OR,0000000105
2000009674,2024-04-03,OR,0000000340
2000007312,2025-08-08,OR,0000000371
2000001768,2023-04-22,OR,0000000138
2000003517,2022-08-26,OR,0000000399
2000009682,2023-02-23,OR,0000000121
2000006977,2025-04-12,OR,0000000476
2000003049,2023-08-10,RE,0000000325
2000008148,,OR,0000000085
2000005759,2024-09-10,OR,0000000383
2000001092,2025-07-18,OR,0000000409
2000009311,2023-10-18,OR,0000000162
2000008683,2024-09-13,RE,0000000113
2000003487,2024-03-28,OR,0000000304
2000004569,2025-07-09,RE,0000000038
2000008731,2023-01-04,OR,0000000359
2000001276,2024-06-14,SO,0000000478
2000005356,2023-01-28,OR,0000000023
2000001627,2024-01-18,OR,0000000148
2000002715,2024-08-31,OR,0000000312
2000002579,2023-01-08,OR,0000000489
2000003358,2024-02-01,OR,0000000358
2000008044,2023-01-28,OR,0000000498
2000001474,2024-04-08,OR,0000000058
2000008026,2025-07-21,RE,0000000430
2000004435,2022-09-08,OR,0000000048
2000008450,2022-10-28,OR,0000000246
2000003365,2024-08-25,OR,0000000326
2000006866,2022-12-31,OR,0000000059
2000004804,2023-02-28,OR,0000000042
2000000370,2024-02-05,RE,0000000233
2000007736,2023-01-26,OR,0000000433
2000007430,2023-02-20,OR,0000000052
2000009282,2022-10-29,OR,0000000311
2000007380,2023-07-04,OR,0000000144
2000006711,2024-07-23,OR,0000000289
2000006371,2023-12-16,RE,0000000331
2000000337,2023-10-23,OR,0000000148
2000003932,2024-01-09,OR,0000000364
2000000703,2022-09-26,OR,0000000257
2000006485,2024-03-01,SO,0000000221
2000000317,2023-02-06,OR,0000000265
2000009126,2022-10-28,OR,0000000045
2000007015,2025-05-03,OR,0000000173
2000005402,2023-07-20,OR,0000000469
2000008927,2023-12-27,OR,0000000187
2000001460,2022-12-11,OR,0000000375
2000006492,2024-12-18,OR,0000000173
2000002421,2024-12-16,OR,0000000370
2000005011,2024-01-24,OR,0000000282
2000003373,2024-02-16,OR,0000000021
2000003777,2023-01-23,OR,0000000411
2000001742,2024-12-26,OR,0000000293
2000004900,2025-07-01,RE,0000000175
2000007553,2025-06-30,OR,0000000116
2000002292,2023-04-22,OR,0000000468
2000001916,2023-12-06,OR,0000000076
2000002762,2025-08-20,OR,0000000276
2000003248,2023-08-05,OR,0000000205
2000007184,2022-12-09,RE,0000000246
2000004784,2023-10-22,OR,0000000195
2000003377,2023-08-17,OR,0000000078
2000005669,2023-06-03,OR,0000000289
2000005101,2024-01-09,OR,0000000068
2000008047,2025-03-16,OR,0000000326
2000006553,2025-06-09,OR,0000000147
2000002498,2024-04-05,OR,0000000445
2000001667,2023-11-21,RE,0000000203
2000007165,2024-06-29,SO,0000000271
2000006965,2022-12-22,OR,0000000034
2000005034,2024-05-07,SO,0000000116
2000001677,2024-07-20,RE,0000000264
2000005780,2023-06-29,OR,0000000365
2000000455,2025-05-23,OR,0000000109
2000000156,2023-09-14,OR,0000000249
2000001713,2025-04-02,RE,0000000183
2000008138,2023-05-02,OR,0000000434
2000001539,2023-01-01,OR,0000000184
2000004035,2022-12-23,OR,0000000311
2000004772,2023-02-06,RE,0000000361
2000006480,2024-05-11,OR,0000000496
2000001485,2024-05-21,OR,0000000063
2000002039,2024-05-10,RE,0000000143
2000000008,2024-08-29,OR,0000000020
2000005150,2024-04-09,OR,0000000003
2000002763,2024-06-28,OR,0000000361
2000001990,2025-01-20,OR,0000000271
2000001509,2024-06-10,OR,0000000408
2000000868,2025-01-21,OR,0000000435
2000009061,2024-03-14,OR,0000000229
2000003766,2025-05-25,OR,0000000333
2000003353,2022-10-01,OR,0000000302
2000005323,2023-05-03,OR,0000000105
2000008929,2023-02-08,OR,0000000391
2000005811,2023-05-01,OR,0000000143
2000000082,2022-10-11,OR,0000000461
2000007188,2023-10-14,OR,0000000431
2000001203,2023-01-11,OR,0000000041
2000000388,2025-05-26,OR,0000000168
2000003756,2023-08-22,OR,0000000321
2000000238,2024-10-05,OR,0000000006
2000005272,2022-12-12,OR,0000000297
2000000398,2023-05-15,OR,0000000034
2000000765,2024-11-05,OR,0000000039
2000009475,2025-05-10,OR,0000000181
2000006881,2023-12-03,OR,0000000031
2000005001,2023-10-16,OR,0000000192
2000008246,2024-01-06,OR,0000000334
2000001456,2023-07-24,OR,0000000256
2000005058,,OR,0000000405
2000001979,2023-01-17,SO,0000000182
2000008030,2023-07-17,RE,0000000097
2000007031,2024-03-16,OR,0000000158
2000004309,2024-11-25,OR,0000000326
2000006282,2024-04-09,OR,0000000356
2000004065,2025-01-22,OR,0000000339
2000008249,2022-12-13,OR,0000000049
2000007451,2023-08-01,OR,0000000465
2000001816,2025-04-14,OR,0000000455
2000005127,2023-10-06,OR,0000000016
2000003195,2024-01-30,OR,0000000347
2000007153,2024-10-27,RE,0000000327
2000002398,2022-09-24,OR,0000000220
2000002608,2025-08-07,OR,0000000275
2000002251,2023-02-27,RE,0000000017
2000001528,2023-05-13,OR,0000000411
2000002856,2023-10-12,OR,0000000271
2000008096,2024-07-06,OR,0000000106
2000007771,2024-01-04,OR,0000000414
2000008656,2023-07-12,OR,0000000148
2000000127,2024-05-20,OR,0000000345
2000006097,2024-03-02,OR,0000000036
2000006006,2024-01-15,OR,0000000218
2000009925,2023-12-21,OR,0000000064
2000005827,2025-05-18,OR,0000000277
2000000543,2022-10-15,OR,0000000482
2000002572,2023-12-25,OR,0000000160
2000006208,2023-06-23,OR,0000000313
2000005956,2025-07-09,OR,0000000338
2000000822,2023-03-22,OR,0000000377
2000005122,2024-04-15,RE,0000000034
2000006088,2024-11-05,OR,0000000469
2000004833,,OR,0000000231
2000007573,2024-08-20,OR,0000000463
2000006170,2023-01-03,OR,0000000467
2000008603,2025-01-20,OR,0000000378
2000000532,2022-08-28,OR,0000000483
2000004430,2025-04-11,OR,0000000253
2000006034,2024-04-25,OR,0000000165
2000000756,2025-07-20,OR,0000000464
2000004912,2025-06-12,OR,0000000114
2000001630,2025-07-29,OR,0000000059
2000009734,2025-02-14,OR,0000000495
2000006758,2024-01-28,OR,0000000351
2000004576,2023-12-15,SO,0000000207
2000009541,2024-08-25,OR,0000000003
2000009629,2025-04-16,OR,0000000011
2000007289,2023-09-04,OR,0000000294
2000008994,2024-12-24,OR,0000000135
2000007346,2024-12-27,OR,0000000375
2000009560,2023-10-11,OR,0000000221
