KUNNR,LAND1,NAME1,ORT01,PSTLZ
0000000485,AU,"Yang, Burgess and Bautista",Jeffreybury,30166
0000000486,ES,Gutierrez Inc,East Edwin,26871
0000000487,IN,"Alvarez, Baker and Nash",South Kimberlyview,35851
0000000488,ES,"Moore, Quinn and Patterson",Stewartmouth,23953
0000000489,RU,Moore-Manning,Erinmouth,13081
0000000490,MX,Montoya Ltd,North Lindsey,78017
0000000491,US,Carpenter-Smith,Port Jonathon,01376
0000000492,FR,Hart and Sons,New Saramouth,26258
0000000493,CN,Watson PLC,North Stacyton,94223
0000000494,GB,Johnson Ltd,Lindseyshire,62615
0000000495,MX,Terry PLC,Brianborough,10669
0000000496,GB,Simpson-Hawkins,West Victoriaborough,86526
0000000497,CA,"Hicks, Johnson and Cruz",Lake Alexander,13832
0000000498,IT,Stevens LLC,Henryside,84424
0000000499,CA,Campbell Group,Daltonhaven,98292
0000000500,FR,Hill PLC,Ramirezbury,36046
