MATNR,MAKTX,MTART,BRGEW
MAT-000689,Section them,FERT,40.23
MAT-000690,Economic bed,ROH,37.25
MAT-000691,Degree boy,FERT,24.71
MAT-000692,Career break,HALB,21.36
MAT-000693,Man clear,FERT,37.4
MAT-000694,Suffer partner,ROH,36.97
MAT-000695,Weight unit,ROH,32.66
MAT-000696,Again ten,FERT,22.51
MAT-000697,Pass note,FERT,11.26
MAT-000698,A base,FERT,19.38
MAT-000699,Resource between,HALB,41.45
MAT-000700,I experience,HALB,21.21
MAT-000701,Need artist,FERT,21.92
MAT-000702,Realize send,FERT,43.14
MAT-000703,Out difference,HALB,43.78
MAT-000704,Necessary wall,ROH,25.86
MAT-000705,Every situation,HALB,22.46
MAT-000706,Right less,ROH,24.2
MAT-000707,Determine black,ROH,28.32
MAT-000708,Either enter,HALB,42.01
MAT-000709,Teach marriage,HALB,30.38
MAT-000710,Recent add,ROH,27.66
MAT-000711,Machine international,HALB,40.58
MAT-000712,Within offer,ROH,10.73
MAT-000713,Know collection,ROH,1.88
MAT-000714,Born sit,ROH,16.76
MAT-000715,Country support,HALB,24.64
MAT-000716,Character matter,FERT,47.6
MAT-000717,Behavior notice,HALB,7.78
MAT-000718,Young five,FERT,25.29
MAT-000719,Sit finish,ROH,19.72
MAT-000720,Hour attention,HALB,35.66
MAT-000721,Hard so,HALB,19.86
MAT-000722,Commercial authority,FERT,4.17
MAT-000723,Difference edge,HALB,17.7
MAT-000724,Between listen,FERT,26.01
MAT-000725,Buy evidence,FERT,30.01
MAT-000726,The party,ROH,18.43
MAT-000727,Them resource,HALB,21.07
MAT-000728,Beyond enjoy,HALB,33.48
MAT-000729,Wait court,HALB,48.75
MAT-000730,What gun,FERT,21.15
MAT-000731,Moment beat,ROH,21.05
MAT-000732,Protect international,FERT,12.19
MAT-000733,With Mr,HALB,31.19
MAT-000734,Tree week,HALB,16.92
MAT-000735,Give attention,ROH,4.7
MAT-000736,Thus return,HALB,23.45
MAT-000737,Significant for,ROH,28.35
MAT-000738,Clearly ground,HALB,26.33
MAT-000739,Dinner outside,FERT,42.61
MAT-000740,Ten east,ROH,29.46
MAT-000741,Radio resource,HALB,35.74
MAT-000742,Recently happy,HALB,6.61
MAT-000743,Kind story,HALB,39.54
MAT-000744,Run probably,HALB,22.62
MAT-000745,Thought guess,HALB,48.01
MAT-000746,Young education,HALB,33.72
MAT-000747,International accept,HALB,12.28
MAT-000748,Along and,ROH,9.56
MAT-000749,Girl hand,HALB,18.43
MAT-000750,Call shake,HALB,1.5
MAT-000751,Small couple,ROH,40.2
MAT-000752,Simple study,FERT,25.91
MAT-000753,Piece material,HALB,10.51
MAT-000754,Cup career,ROH,24.21
MAT-000755,Trial arrive,HALB,46.1
MAT-000756,Sense reduce,ROH,12.71
MAT-000757,Own hear,FERT,6.15
MAT-000758,Budget listen,ROH,4.33
MAT-000759,Make paper,HALB,8.68
MAT-000760,Play share,HALB,22.79
MAT-000761,Need view,HALB,45.51
MAT-000762,Project simple,FERT,35.02
MAT-000763,Above reach,FERT,48.27
MAT-000764,Clear pressure,ROH,36.56
MAT-000765,Perform range,ROH,21.67
MAT-000766,Wish main,HALB,19.26
MAT-000767,Life education,HALB,1.15
MAT-000768,Reach wind,FERT,8.55
MAT-000769,Girl you,FERT,26.52
MAT-000770,Drug find,HALB,3.35
MAT-000771,Case investment,ROH,1.88
MAT-000772,Mention believe,FERT,4.94
MAT-000773,Let mind,ROH,37.25
MAT-000774,Bed which,HALB,19.1
MAT-000775,Report probably,HALB,0.84
MAT-000776,Exactly evening,HALB,36.16
MAT-000777,Especially our,FERT,14.71
MAT-000778,Trial blue,ROH,26.39
MAT-000779,Personal particularly,FERT,10.73
MAT-000780,Course improve,HALB,42.98
MAT-000781,Force face,HALB,7.3
MAT-000782,Agree mission,FERT,44.98
MAT-000783,Three deep,HALB,27.72
MAT-000784,First evening,ROH,30.39
MAT-000785,Mrs high,FERT,25.17
MAT-000786,Break operation,FERT,22.05
MAT-000787,Enter like,ROH,30.22
MAT-000788,Industry later,FERT,18.54
MAT-000789,Source imagine,HALB,21.94
MAT-000790,First behavior,HALB,34.35
MAT-000791,Benefit build,HALB,21.26
MAT-000792,Suddenly design,FERT,38.18
MAT-000793,Tree owner,HALB,37.86
MAT-000794,Large blood,HALB,19.66
MAT-000795,Individual range,FERT,3.72
MAT-000796,Idea them,FERT,16.77
MAT-000797,Loss low,ROH,10.88
MAT-000798,Tonight instead,ROH,0.63
MAT-000799,Goal peace,HALB,31.86
MAT-000800,By prepare,HALB,49.58
MAT-000801,During with,FERT,22.69
MAT-000802,Site economy,ROH,34.3
MAT-000803,Few onto,FERT,12.07
MAT-000804,Hand occur,FERT,2.51
MAT-000805,Student at,FERT,37.11
MAT-000806,Organization market,HALB,8.64
MAT-000807,Few reality,HALB,15.13
MAT-000808,Drug treat,HALB,31.82
MAT-000809,Likely process,ROH,24.6
MAT-000810,Mr consumer,FERT,15.7
MAT-000811,Couple cell,ROH,4.66
MAT-000812,Central kitchen,HALB,35.78
MAT-000813,Scene factor,FERT,41.83
MAT-000814,Record not,ROH,4.53
MAT-000815,Over very,HALB,33.86
MAT-000816,Material movie,HALB,11.79
MAT-000817,Blue environmental,HALB,39.73
MAT-000818,Lay respond,FERT,32.23
MAT-000819,Almost behind,HALB,7.96
MAT-000820,Low son,FERT,21.42
MAT-000821,Today how,FERT,19.0
MAT-000822,Central break,FERT,15.97
MAT-000823,Television threat,HALB,2.36
MAT-000824,Science certainly,HALB,49.24
MAT-000825,Spend make,FERT,33.25
MAT-000826,Democratic move,FERT,11.49
MAT-000827,Customer interest,HALB,38.74
MAT-000828,Machine political,ROH,4.82
MAT-000829,Cultural goal,HALB,16.5
MAT-000830,Growth anything,ROH,49.57
MAT-000831,Shoulder both,FERT,10.59
MAT-000832,You always,HALB,25.41
MAT-000833,We know,ROH,38.81
MAT-000834,Toward form,FERT,12.02
MAT-000835,Interview body,HALB,46.08
MAT-000836,Deep owner,FERT,48.76
MAT-000837,Study family,ROH,2.11
MAT-000838,Once kind,HALB,21.01
MAT-000839,Relate road,ROH,24.36
MAT-000840,Drop expert,HALB,30.08
MAT-000841,Born identify,FERT,48.23
MAT-000842,Clear huge,HALB,8.62
MAT-000843,Range consumer,ROH,33.23
MAT-000844,Article social,ROH,14.21
MAT-000845,Subject break,ROH,10.05
MAT-000846,Side plan,HALB,32.56
MAT-000847,Great reach,ROH,40.69
MAT-000848,Field pattern,HALB,37.02
MAT-000849,Accept relationship,HALB,25.45
MAT-000850,Source protect,FERT,20.02
MAT-000851,Ahead something,FERT,41.67
MAT-000852,See across,HALB,1.39
MAT-000853,Doctor practice,HALB,6.45
MAT-000854,Single figure,HALB,7.95
MAT-000855,Item position,FERT,36.48
MAT-000856,Really them,HALB,19.11
MAT-000857,Himself bill,FERT,43.34
MAT-000858,Able attack,HALB,36.23
MAT-000859,Possible grow,HALB,11.44
MAT-000860,Wrong pick,ROH,35.92
MAT-000861,Someone themselves,HALB,8.72
MAT-000862,Enough center,HALB,39.93
MAT-000863,For military,ROH,1.57
MAT-000864,Wait lose,HALB,11.57
MAT-000865,Difficult law,ROH,28.24
MAT-000866,Himself that,FERT,3.28
MAT-000867,How religious,ROH,23.76
MAT-000868,Authority month,ROH,12.74
MAT-000869,Same use,ROH,1.07
MAT-000870,Difficult visit,ROH,42.65
MAT-000871,Begin item,FERT,17.22
MAT-000872,Trouble knowledge,HALB,45.56
MAT-000873,Television upon,FERT,4.01
MAT-000874,Instead wait,HALB,4.74
MAT-000875,Speech agency,HALB,26.88
MAT-000876,Get goal,HALB,19.28
MAT-000877,Attention main,ROH,47.98
MAT-000878,Go real,ROH,21.61
MAT-000879,Security nature,FERT,34.49
MAT-000880,School today,ROH,28.87
MAT-000881,Bring employee,FERT,16.47
MAT-000882,Actually he,FERT,42.14
MAT-000883,Exist finish,ROH,19.27
MAT-000884,Choice group,ROH,18.63
MAT-000885,Answer here,FERT,42.41
MAT-000886,So truth,HALB,24.44
MAT-000887,Peace story,FERT,47.08
MAT-000888,Important talk,FERT,34.61
MAT-000889,But big,FERT,8.34
MAT-000890,Campaign financial,ROH,26.13
MAT-000891,Word town,FERT,32.36
MAT-000892,Visit personal,ROH,14.65
MAT-000893,Tax account,FERT,44.65
MAT-000894,Bad they,ROH,21.8
MAT-000895,Owner mean,ROH,29.05
MAT-000896,Suddenly perform,ROH,17.41
MAT-000897,Radio parent,ROH,6.85
MAT-000898,Tend site,ROH,8.79
MAT-000899,Two market,FERT,28.86
MAT-000900,Sign full,FERT,24.13
MAT-000901,Deep safe,HALB,5.45
MAT-000902,View cup,HALB,2.39
MAT-000903,Quality trade,HALB,33.89
MAT-000904,Receive theory,HALB,47.96
MAT-000905,Maybe executive,FERT,9.16
MAT-000906,Game too,FERT,25.42
MAT-000907,Side civil,HALB,31.76
MAT-000908,Price who,HALB,2.63
MAT-000909,Husband seem,HALB,35.8
MAT-000910,White sit,FERT,47.35
MAT-000911,Bar couple,HALB,46.15
MAT-000912,Seat note,FERT,47.23
MAT-000913,Director remain,HALB,39.31
MAT-000914,Series those,FERT,39.02
MAT-000915,Boy loss,ROH,2.4
MAT-000916,Value show,HALB,25.2
MAT-000917,Water choice,HALB,6.15
MAT-000918,Opportunity people,FERT,20.33
MAT-000919,Main movement,ROH,45.01
MAT-000920,Computer economy,FERT,42.1
MAT-000921,Task modern,HALB,16.37
MAT-000922,Blood reflect,HALB,45.81
MAT-000923,Sea factor,FERT,26.82
MAT-000924,City ten,HALB,14.82
MAT-000925,Job third,HALB,12.35
MAT-000926,Wish you,FERT,1.72
MAT-000927,Recent scene,FERT,24.67
MAT-000928,Certainly against,ROH,41.39
MAT-000929,Start spring,HALB,28.42
MAT-000930,Team relationship,FERT,35.34
MAT-000931,Them response,FERT,32.95
MAT-000932,Religious program,ROH,10.54
MAT-000933,Order build,ROH,2.75
MAT-000934,International resource,HALB,40.62
MAT-000935,Probably truth,ROH,39.55
MAT-000936,Fire machine,ROH,3.03
MAT-000937,Middle eat,HALB,4.12
MAT-000938,Program she,HALB,42.98
MAT-000939,For consider,ROH,47.12
MAT-000940,Teacher test,ROH,7.61
MAT-000941,Specific six,HALB,49.12
MAT-000942,Image main,FERT,34.61
MAT-000943,Give not,HALB,11.15
MAT-000944,Situation example,FERT,16.0
MAT-000945,Soldier new,HALB,41.51
MAT-000946,Send how,HALB,35.75
MAT-000947,Visit community,ROH,28.98
MAT-000948,Often teach,HALB,3.03
MAT-000949,See southern,HALB,11.3
MAT-000950,Drive work,FERT,20.12
MAT-000951,Trade house,HALB,11.01
MAT-000952,My try,FERT,27.61
MAT-000953,Interesting happen,FERT,24.51
MAT-000954,Whom develop,FERT,42.97
MAT-000955,Purpose wall,ROH,45.6
MAT-000956,Loss discuss,ROH,20.17
MAT-000957,Local those,HALB,48.59
MAT-000958,Future face,HALB,49.15
MAT-000959,Wind environmental,FERT,27.33
MAT-000960,Product section,FERT,21.2
MAT-000961,Budget life,ROH,38.51
MAT-000962,Result writer,HALB,25.4
MAT-000963,Serious first,HALB,42.1
MAT-000964,Almost watch,ROH,32.55
MAT-000965,Floor represent,ROH,29.55
MAT-000966,Open line,FERT,41.34
MAT-000967,Whatever grow,FERT,25.74
MAT-000968,Recently deep,ROH,21.92
MAT-000969,Economy charge,ROH,5.24
MAT-000970,Not more,HALB,27.33
MAT-000971,Nice agency,FERT,6.47
MAT-000972,Start think,FERT,43.19
MAT-000973,Guy president,FERT,14.24
MAT-000974,Approach plan,HALB,9.42
MAT-000975,View society,FERT,46.56
MAT-000976,Third prepare,HALB,35.74
MAT-000977,Manager final,HALB,40.12
MAT-000978,Down rather,FERT,26.9
MAT-000979,Particularly western,HALB,19.45
MAT-000980,Wonder artist,ROH,34.47
MAT-000981,Near since,FERT,31.79
MAT-000982,Magazine TV,FERT,2.22
MAT-000983,Season Congress,HALB,37.87
MAT-000984,Owner well,FERT,40.8
MAT-000985,Relationship herself,FERT,1.63
MAT-000986,Cover yard,FERT,45.49
MAT-000987,Air model,ROH,19.36
MAT-000988,Threat quality,HALB,48.26
MAT-000989,He receive,FERT,31.46
MAT-000990,Piece thing,HALB,39.53
MAT-000991,Minute should,ROH,41.97
MAT-000992,Century blue,ROH,15.75
MAT-000993,Itself message,ROH,29.79
MAT-000994,Tree end,FERT,13.95
MAT-000995,Present catch,HALB,25.9
MAT-000996,Listen we,FERT,3.73
MAT-000997,Type whom,ROH,42.95
MAT-000998,Else to,ROH,39.76
MAT-000999,Among later,HALB,31.01
MAT-001000,Until crime,FERT,3.93
